date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
7/4/2021,27,Normal Day,no,Sunday,holiday,weekEnd
7/5/2021,27,Normal Day,no,Monday,not holiday,weekDay
7/6/2021,27,Normal Day,no,Tuesday,not holiday,weekDay
7/7/2021,27,Normal Day,no,Wednesday,not holiday,weekDay
7/8/2021,27,Normal Day,no,Thursday,not holiday,weekDay
7/9/2021,28,Normal Day,no,Friday,not holiday,weekDay
7/10/2021,28,Normal Day,no,Saturday,holiday,weekEnd
7/11/2021,28,Normal Day,no,Sunday,holiday,weekEnd
7/12/2021,28,Normal Day,no,Monday,not holiday,weekDay
7/13/2021,28,Normal Day,no,Tuesday,not holiday,weekDay
7/14/2021,28,Normal Day,no,Wednesday,not holiday,weekDay
7/15/2021,28,Normal Day,no,Thursday,not holiday,weekDay
7/16/2021,29,Normal Day,no,Friday,not holiday,weekDay
7/17/2021,29,Normal Day,no,Saturday,holiday,weekEnd
7/18/2021,29,Normal Day,no,Sunday,holiday,weekEnd
7/19/2021,29,Normal Day,no,Monday,not holiday,weekDay
7/20/2021,29,Normal Day,no,Tuesday,not holiday,weekDay
7/21/2021,29,Normal Day,no,Wednesday,not holiday,weekDay
7/22/2021,29,Normal Day,no,Thursday,not holiday,weekDay
7/23/2021,30,Normal Day,no,Friday,not holiday,weekDay
7/24/2021,30,Asalha Puja Day,yes,Saturday,holiday,Spacial
7/25/2021,30,Buddhist Lent Day,yes,Sunday,holiday,Spacial
7/26/2021,30,Compensatory Holiday,yes,Monday,holiday,Spacial
7/27/2021,30,Normal Day,no,Tuesday,not holiday,weekDay
7/28/2021,30,H.M.King Maha Vajiralongkorn's Birthday,no,Wednesday,holiday,Spacial
7/29/2021,30,Normal Day,no,Thursday,not holiday,weekDay
7/30/2021,31,Normal Day,no,Friday,not holiday,weekDay
7/31/2021,31,Normal Day,no,Saturday,holiday,weekEnd
8/1/2021,31,Normal Day,no,Sunday,holiday,weekEnd
8/2/2021,31,Normal Day,no,Monday,not holiday,weekDay
8/3/2021,31,Normal Day,no,Tuesday,not holiday,weekDay
8/4/2021,31,Normal Day,no,Wednesday,not holiday,weekDay
8/5/2021,31,Normal Day,no,Thursday,not holiday,weekDay
8/6/2021,32,Normal Day,no,Friday,not holiday,weekDay
8/7/2021,32,Normal Day,no,Saturday,holiday,weekEnd
8/8/2021,32,Normal Day,no,Sunday,holiday,weekEnd
8/9/2021,32,Normal Day,no,Monday,not holiday,weekDay
8/10/2021,32,Normal Day,no,Tuesday,not holiday,weekDay
8/11/2021,32,Normal Day,no,Wednesday,not holiday,weekDay
8/12/2021,32,Mother's Day,no,Thursday,holiday,Spacial
8/13/2021,33,Normal Day,no,Friday,not holiday,weekDay
8/14/2021,33,Normal Day,no,Saturday,holiday,weekEnd
8/15/2021,33,Normal Day,no,Sunday,holiday,weekEnd
8/16/2021,33,Normal Day,no,Monday,not holiday,weekDay
8/17/2021,33,Normal Day,no,Tuesday,not holiday,weekDay
8/18/2021,33,Normal Day,no,Wednesday,not holiday,weekDay
8/19/2021,33,Normal Day,no,Thursday,not holiday,weekDay
8/20/2021,34,Normal Day,no,Friday,not holiday,weekDay
8/21/2021,34,Normal Day,no,Saturday,holiday,weekEnd
8/22/2021,34,Normal Day,no,Sunday,holiday,weekEnd
8/23/2021,34,Normal Day,no,Monday,not holiday,weekDay
8/24/2021,34,Normal Day,no,Tuesday,not holiday,weekDay
8/25/2021,34,Normal Day,no,Wednesday,not holiday,weekDay
8/26/2021,34,Normal Day,no,Thursday,not holiday,weekDay
8/27/2021,35,Normal Day,no,Friday,not holiday,weekDay
8/28/2021,35,Normal Day,no,Saturday,holiday,weekEnd
8/29/2021,35,Normal Day,no,Sunday,holiday,weekEnd
8/30/2021,35,Normal Day,no,Monday,not holiday,weekDay
8/31/2021,35,Normal Day,no,Tuesday,not holiday,weekDay
9/1/2021,35,Normal Day,no,Wednesday,not holiday,weekDay
9/2/2021,35,Normal Day,no,Thursday,not holiday,weekDay
9/3/2021,36,Normal Day,no,Friday,not holiday,weekDay
9/4/2021,36,Normal Day,no,Saturday,holiday,weekEnd
9/5/2021,36,Normal Day,no,Sunday,holiday,weekEnd
9/6/2021,36,Normal Day,no,Monday,not holiday,weekDay
9/7/2021,36,Normal Day,no,Tuesday,not holiday,weekDay
9/8/2021,36,Normal Day,no,Wednesday,not holiday,weekDay
9/9/2021,36,Normal Day,no,Thursday,not holiday,weekDay
9/10/2021,37,Normal Day,no,Friday,not holiday,weekDay
9/11/2021,37,Normal Day,no,Saturday,holiday,weekEnd
9/12/2021,37,Normal Day,no,Sunday,holiday,weekEnd
9/13/2021,37,Normal Day,no,Monday,not holiday,weekDay
9/14/2021,37,Normal Day,no,Tuesday,not holiday,weekDay
9/15/2021,37,Normal Day,no,Wednesday,not holiday,weekDay
9/16/2021,37,Normal Day,no,Thursday,not holiday,weekDay
9/17/2021,38,Normal Day,no,Friday,not holiday,weekDay
9/18/2021,38,Normal Day,no,Saturday,holiday,weekEnd
9/19/2021,38,Normal Day,no,Sunday,holiday,weekEnd
9/20/2021,38,Normal Day,no,Monday,not holiday,weekDay
9/21/2021,38,Normal Day,no,Tuesday,not holiday,weekDay
9/22/2021,38,Normal Day,no,Wednesday,not holiday,weekDay
9/23/2021,38,Normal Day,no,Thursday,not holiday,weekDay
9/24/2021,39,Special Holidays,yes,Friday,holiday,Spacial
9/25/2021,39,Normal Day,yes,Saturday,holiday,weekEnd
9/26/2021,39,Normal Day,yes,Sunday,holiday,weekEnd
9/27/2021,39,Normal Day,no,Monday,not holiday,weekDay
9/28/2021,39,Normal Day,no,Tuesday,not holiday,weekDay
9/29/2021,39,Normal Day,no,Wednesday,not holiday,weekDay
9/30/2021,39,Normal Day,no,Thursday,not holiday,weekDay
10/1/2021,40,Normal Day,no,Friday,not holiday,weekDay
10/2/2021,40,Normal Day,no,Saturday,holiday,weekEnd
10/3/2021,40,Normal Day,no,Sunday,holiday,weekEnd
10/4/2021,40,Normal Day,no,Monday,not holiday,weekDay
10/5/2021,40,Normal Day,no,Tuesday,not holiday,weekDay
10/6/2021,40,Normal Day,no,Wednesday,not holiday,weekDay
10/7/2021,40,Normal Day,no,Thursday,not holiday,weekDay
10/8/2021,41,Normal Day,no,Friday,not holiday,weekDay
10/9/2021,41,Normal Day,no,Saturday,holiday,weekEnd
10/10/2021,41,Normal Day,no,Sunday,holiday,weekEnd
10/11/2021,41,Normal Day,no,Monday,not holiday,weekDay
10/12/2021,41,Normal Day,no,Tuesday,not holiday,weekDay
10/13/2021,41,H.M. King Bhumibol Adulyadej Memorial Day,no,Wednesday,holiday,Spacial
10/14/2021,41,Normal Day,no,Thursday,not holiday,weekDay
10/15/2021,42,Normal Day,no,Friday,not holiday,weekDay
10/16/2021,42,Normal Day,no,Saturday,holiday,weekEnd
10/17/2021,42,Normal Day,no,Sunday,holiday,weekEnd
10/18/2021,42,Normal Day,no,Monday,not holiday,weekDay
10/19/2021,42,Normal Day,no,Tuesday,not holiday,weekDay
10/20/2021,42,Normal Day,no,Wednesday,not holiday,weekDay
10/21/2021,42,The End of Buddhist Lent Day,yes,Thursday,holiday,Spacial
10/22/2021,43,Compensatory Holiday,yes,Friday,holiday,Spacial
10/23/2021,43,Chulalongkorn Day,yes,Saturday,holiday,Spacial
10/24/2021,43,Normal Day,yes,Sunday,holiday,weekEnd
10/25/2021,43,Normal Day,no,Monday,not holiday,weekDay
10/26/2021,43,Normal Day,no,Tuesday,not holiday,weekDay
10/27/2021,43,Normal Day,no,Wednesday,not holiday,weekDay
10/28/2021,43,Normal Day,no,Thursday,not holiday,weekDay
10/29/2021,44,Normal Day,no,Friday,not holiday,weekDay
10/30/2021,44,Normal Day,no,Saturday,holiday,weekEnd
10/31/2021,44,Normal Day,no,Sunday,holiday,weekEnd
11/1/2021,44,Normal Day,no,Monday,not holiday,weekDay
11/2/2021,44,Normal Day,no,Tuesday,not holiday,weekDay
11/3/2021,44,Normal Day,no,Wednesday,not holiday,weekDay
11/4/2021,44,Normal Day,no,Thursday,not holiday,weekDay
11/5/2021,45,Normal Day,no,Friday,not holiday,weekDay
11/6/2021,45,Normal Day,no,Saturday,holiday,weekEnd
11/7/2021,45,Normal Day,no,Sunday,holiday,weekEnd
11/8/2021,45,Normal Day,no,Monday,not holiday,weekDay
11/9/2021,45,Normal Day,no,Tuesday,not holiday,weekDay
11/10/2021,45,Normal Day,no,Wednesday,not holiday,weekDay
11/11/2021,45,Normal Day,no,Thursday,not holiday,weekDay
11/12/2021,46,Normal Day,no,Friday,not holiday,weekDay
11/13/2021,46,Normal Day,no,Saturday,holiday,weekEnd
11/14/2021,46,Normal Day,no,Sunday,holiday,weekEnd
11/15/2021,46,Normal Day,no,Monday,not holiday,weekDay
11/16/2021,46,Normal Day,no,Tuesday,not holiday,weekDay
11/17/2021,46,Normal Day,no,Wednesday,not holiday,weekDay
11/18/2021,46,Normal Day,no,Thursday,not holiday,weekDay
11/19/2021,47,Normal Day,no,Friday,not holiday,weekDay
11/20/2021,47,Normal Day,no,Saturday,holiday,weekEnd
11/21/2021,47,Normal Day,no,Sunday,holiday,weekEnd
11/22/2021,47,Normal Day,no,Monday,not holiday,weekDay
11/23/2021,47,Normal Day,no,Tuesday,not holiday,weekDay
11/24/2021,47,Normal Day,no,Wednesday,not holiday,weekDay
11/25/2021,47,Normal Day,no,Thursday,not holiday,weekDay
11/26/2021,48,Normal Day,no,Friday,not holiday,weekDay
11/27/2021,48,Normal Day,no,Saturday,holiday,weekEnd
11/28/2021,48,Normal Day,no,Sunday,holiday,weekEnd
11/29/2021,48,Normal Day,no,Monday,not holiday,weekDay
11/30/2021,48,Normal Day,no,Tuesday,not holiday,weekDay
12/1/2021,48,Normal Day,no,Wednesday,not holiday,weekDay
12/2/2021,48,Normal Day,no,Thursday,not holiday,weekDay
12/3/2021,49,Normal Day,no,Friday,not holiday,weekDay
12/4/2021,49,Normal Day,yes,Saturday,holiday,weekEnd
12/5/2021,49,Father's Day,yes,Sunday,holiday,Spacial
12/6/2021,49,Compensatory Holiday,yes,Monday,holiday,Spacial
12/7/2021,49,Normal Day,no,Tuesday,not holiday,weekDay
12/8/2021,49,Normal Day,no,Wednesday,not holiday,weekDay
12/9/2021,49,Normal Day,no,Thursday,not holiday,weekDay
